"","FID","GEOID","ALAND"
"886",0,"060730102004",205336
"887",0,"060730157013",349629
"888",0,"060730166172",763370
"889",0,"060374307242",320509
"890",0,"060374307011",1242252
"891",0,"060374307012",615100
"892",0,"060374307013",485694
"893",0,"060374307014",634760
"894",0,"060374307211",3116226
"895",0,"060374307213",394648
"896",0,"060374307241",259398
"897",0,"060374308024",517039
"898",0,"060377026005",228209
"899",0,"060377026006",292862
"900",0,"060730138021",356900
"901",0,"060730139031",729042
"902",0,"060730139051",1614895
"903",0,"060730139052",311528
"904",0,"060730139053",278304
"905",0,"060374308012",481437
"906",0,"060374308013",140077
"907",0,"060374308022",650892
"908",0,"060374308023",424204
"909",0,"060374308031",366758
"910",0,"060372220023",143706
"911",0,"060374308033",463785
"912",0,"060372220021",168405
"913",0,"060372220022",160987
"914",0,"060372327003",153968
"915",0,"060650432541",39858898
"916",0,"060372247002",235489
"917",0,"060372260011",384120
"918",0,"060374310012",394355
"919",0,"060372260012",650644
"920",0,"060372260022",489795
"921",0,"060372321203",226301
"922",0,"060650432783",4737393
"923",0,"060650432542",11922070
"924",0,"060650432643",1313535
"925",0,"060650432701",992768
"926",0,"060650432722",56144818
"927",0,"060650432761",7922281
"928",0,"060650432792",5971551
"929",0,"060730136043",1611765
"930",0,"060750131022",90898
"931",0,"060730109001",930390
"932",0,"060730109002",332688
"933",0,"060730110001",504786
"934",0,"060730110002",345476
"935",0,"060730111001",397248
"936",0,"060730111002",307142
"937",0,"060377010004",304462
"938",0,"060377010005",366636
"939",0,"060650402032",475749
"940",0,"060650403022",1430287
"941",0,"060650403023",1485124
"942",0,"060376707011",1430986
"943",0,"060730134151",1160609
"944",0,"060730134161",1383720
"945",0,"060730134162",821920
"946",0,"060730134171",2013807
"947",0,"060730134181",315106
"948",0,"060690007011",1078791
"949",0,"060690004005",295874
"950",0,"060690001001",178826485
"951",0,"060690002001",5072212
"952",0,"060730134182",538706
"953",0,"060730134184",468253
"954",0,"060730135031",871367
"955",0,"060730135032",733561
"956",0,"060730135033",1156241
"957",0,"060730135041",380132
"958",0,"060730135042",573257
"959",0,"060133551151",2298389
"960",0,"060570012064",2696798
"961",0,"060133072023",268885
"962",0,"060376704031",1661940
"963",0,"060374018001",1606708
"964",0,"060374018002",1598206
"965",0,"060374018003",2811786
"966",0,"060374019011",1100303
"967",0,"060374019012",622515
"968",0,"060374019021",498130
"969",0,"060374019022",776318
"970",0,"060374019024",884704
"971",0,"060376704051",1499442
"972",0,"060376704061",1188202
"973",0,"060730135051",1313711
"974",0,"060374033201",2329215
